"AlioshaPopovich"	"Anecdote1"	"Anecdote2"	"Anecdote3"	"Anecdote4"	"Anekdot1"	"ArmlessMaiden"	"ArrantFool"	"BabaJagaBraveYouth"	"BabaJaga_"	"BabaJaga"	"BadWife"	"BaldakBorisevich"	"Barter"	"BearAndCock"	"BearDogCat"	"BeastsPit"	"BeggarsPlan"	"Berenushka"	"BladderStrawShoe"	"BoldKnightApplesLife"	"BraveLaborer"	"BukhtanBukhtanovich"	"CastleOfTheFly"	"CatCockFox"	"CheaterCheated"	"CleverAnswers"	"CockHandMill"	"CraneHeron"	"CrossPledgedSecurity"	"CrystalMountain"	"DaniloLuckless"	"DaughterStepdaughter"	"DawnEveningMidnight"	"Daydreamer"	"DeadBody"	"DeathClock"	"DeathMiser"	"DevilPotter"	"DividingGoose"	"DogWoodpecker"	"ElenaWise"	"EmelyaSimpleton"	"EnchantedPrincess"	"EnchantedRing"	"FatherNicholasThief"	"FeatherFinestBrightFalcon"	"FiddlerInHell"	"FirebirdPrincessVasilisa"	"FomaBerennikov"	"FomaErema"	"FoolishGerman"	"FoolishWolf"	"FootlessChampion"	"FoxConfessor"	"FoxLobster"	"FoxMidwife"	"FoxMourner"	"FoxPhysician"	"FoxWoodcock"	"FoxWoodpecker"	"FrogPrincess"	"FrolkaStayAtHome"	"GoatComesBack"	"GoatSheddingOneSide"	"GoINotWhither"	"GoldenBristledPig"	"GoldenSlipper"	"Goldfish"	"GoodAdvice"	"GrumblingOldWoman"	"HenCock"	"Horns"	"HowAHusbandWeanedHisWife"	"HusbandWife"	"IfYouDontLikeItDontListen"	"IlyaMurometsDragon"	"IndiscreetWife"	"IvanCowsSon"	"IvanFirebirdGrayWolf"	"IvankoBearsSon"	"IvanPeasantsSon"	"IvanSImpleton"	"IvanushkoLittleFool"	"JackFrost"	"Jester"	"JustReward"	"KingBear"	"KnowNot"	"KoshchejBesmertnyj"	"LazyMaiden"	"LittleSisterFoxWolf"	"Lutonjushka"	"MagicBox"	"MagicShirt"	"MagicSwanGeese"	"Magic"	"MaidenTsar"	"ManWhoDidNotKnowFear"	"MarcoRichVasilijLuckless"	"MariaMorevna"	"MarvelousMarvel"	"Mayoress"	"MerchantsDaughterMaidservant"	"MerchantsDaughterSlanderer"	"MilkWildBeasts"	"MiraculousPipe"	"Miser"	"Misery"	"NikitaTanner"	"NoblemanPeasant"	"Nodey"	"OldFavorsSoonForgotten"	"OldWomanRanAway"	"OneEyedEvil"	"PeasantBearFox"	"PeasantCorpse"	"PikeLongTeeth"	"PoorWretch"	"Potter"	"PreciousHide"	"PriestsLaborer"	"PrinceDanilaGovorila"	"PrinceIvanBelyjPoljanin"	"PrinceIvanPrincessMartha"	"PrincessSolveRiddles"	"QuarrelsomeDemjan"	"RamCatTwelveWolves"	"RamWhoLostHalfHisSkin"	"RavenLobster"	"Riddles"	"RightWrong"	"Robbers"	"Salt"	"SeaKingVasilisaWise"	"SecretBall"	"SelfPlayingGusla"	"SheepFoxWolf"	"ShemjakaJudge"	"SingingTreeTalkingBird"	"SisterAljonushkaBrotherIvanushka"	"SnottyGoat"	"SnowWhiteFox"	"SoldierAndKing"	"SoldiersRiddle"	"Sorcoress"	"SpeedyMessenger"	"Spider"	"StubbornWife"	"SunMoonRaven"	"TamingOfTheShrew"	"Tereshichka"	"ThreeKingdomsCopperSilverGolden"	"ThreeKingdoms"	"ThreePennies"	"Treasure-Trove"	"TwoIvans"	"TwoKindsLuck"	"TwoOutOfTheSack"	"TwoRivers"	"VasilisaBeautiful"	"VasilisaPriestsDaughter"	"WhiteDuck"	"WickedSisters"	"WiseLittleGirl"	"WiseMaidenSevenRobbers"	"WiseWife"	"WolfGoat"	"Wolf"	"WomansWay"
"to the"	0.459770114942529	0	0	0	0	0	0.732779677576942	0.700525394045534	0.58027079303675	0.613496932515337	0.93984962406015	0.924702774108322	1.16841257050766	0.24330900243309	1.54798761609907	0.684931506849315	0.266666666666667	1.25	0.870253164556962	0.675874228621804	0.876885303402315	0.180831826401447	1.22905027932961	0.982142857142857	0.504413619167718	1.23076923076923	0.826446280991736	0.741839762611276	0	0.863309352517986	1.09452736318408	0.586223742061553	0.544959128065395	0.464636035105834	0	0.968523002421308	5.57532621589561	0	0.977198697068404	1.68539325842697	0.720288115246098	0.751126690035053	0.638977635782748	0.847035376183358	1.35396518375242	0.50125313283208	0.350877192982456	1.10132158590308	1.38339920948617	0.590717299578059	0.591715976331361	0.396825396825397	1.09034267912773	0.191938579654511	0.910010111223458	2.24719101123596	0.561272217025257	0.338409475465313	0.284495021337127	0.218818380743982	0.738007380073801	0.552486187845304	0.498220640569395	2.63157894736842	1.4344262295082	0.712701932214127	0.789473684210526	0.531914893617021	1.82389937106918	0.53134962805526	0.416666666666667	0.471698113207547	1.30861504907306	0	0.618556701030928	0.94876660341556	0.830909846281678	1.02739726027397	0.763093999306278	0.463743676222597	0.658978583196046	0.972841507904337	0.56406124093473	0.398406374501992	0.225479143179256	0.528084493518963	1.96936542669584	0.463606861381548	0.585302406243226	0.562962962962963	0.658978583196046	0.274725274725275	0.655737704918033	0.562700964630225	0.464252553389044	0	0.24975024975025	0.711743772241993	0.231749710312862	0.855005343783399	0.427228709769296	0.50251256281407	0.766283524904215	1.77089097952407	1.2847965738758	0.537955768081291	0.41958041958042	1.3136288998358	1.08864696734059	0.924499229583975	0.784929356357928	0.520156046814044	0	0	0	0.493421052631579	1.08695652173913	0.409836065573771	0.717703349282297	0.111482720178372	0.177462289263531	0.675675675675676	0.337457817772778	0.456794822992006	0.786472670074715	0.615006150061501	0.206185567010309	0.560747663551402	0.412654745529574	1.63934426229508	1.67014613778706	0.735632183908046	0.415430267062315	0.425273390036452	0.803324099722992	1.468788249694	0.464576074332172	0.749063670411985	1.92962542565267	0.774693350548741	1.02946396876109	0.319148936170213	1.60642570281124	0.819672131147541	0.23696682464455	0.970873786407767	1.42045454545455	0.536193029490617	0.775193798449612	1.14613180515759	1.59362549800797	0.92497430626927	0.663243474540009	0.778715120051914	1.4367816091954	1.11731843575419	1.17621899059025	0.641711229946524	0.501672240802676	1.55440414507772	0.614282057844894	1.19266055045872	0.260642919200695	0.428816466552316	0.770547945205479	0.407558354946276	0.791389680278569	1.78306092124814	0.699300699300699	0.826446280991736
"in the"	0.459770114942529	1.08695652173913	0	0	0	0	0.537371763556424	0.525394045534151	0.386847195357834	0.920245398773006	0	0.660501981505945	0.48348106365834	0.121654501216545	0.309597523219814	0	1.33333333333333	0	0.316455696202532	0.41140170437849	0.210452472816556	0.723327305605787	0.558659217877095	1.07142857142857	0.504413619167718	0.307692307692308	0.206611570247934	0.148367952522255	0	0.287769784172662	0.497512437810945	0.293111871030777	0.136239782016349	0.619514713474445	0	0.726392251815981	0.237247924080664	0	0.814332247557003	0.187265917602996	1.08043217286915	0.550826239359039	0.319488817891374	0.398604882909816	0.483558994197292	0.25062656641604	0.428849902534113	1.10132158590308	0.527009222661397	0.253164556962025	0	0	0.155763239875389	0.447856685860525	0	0	0.187090739008419	0.169204737732657	0.711237553342816	0.437636761487965	0	0.165745856353591	0.427046263345196	0	0.204918032786885	0.205891669306303	0.241228070175439	0.132978723404255	0.50314465408805	0.212539851222104	0.416666666666667	0	0.109051254089422	0.28735632183908	0	0	0.290818446198587	0.856164383561644	0.277488727020465	0.590219224283305	0.247116968698517	0.486420753952169	0.16116035455278	0.637450199203187	0.676437429537768	0.384061449831973	0.437636761487965	0.231803430690774	0.498590938651637	0.414814814814815	0.329489291598023	0.274725274725275	0.655737704918033	0.241157556270096	0.464252553389044	0.571428571428571	0.24975024975025	0.652431791221827	0.115874855156431	0.320627003918774	0.370264881800057	1.00502512562814	0.383141762452107	0.276701715550636	0.642398286937901	0.239091452480574	0.13986013986014	0	0.15552099533437	0.770416024653313	0.313971742543171	0.650195058517555	0.14903129657228	0.78125	0.984528832630098	0.328947368421053	0.36231884057971	1.4344262295082	0.598086124401914	0.780379041248606	0.709849157054126	0	0.506186726659168	0.380662352493338	0.314589068029886	0.2460024600246	0.824742268041237	0.467289719626168	0.825309491059147	0.819672131147541	0	0.32183908045977	0.237388724035608	0.121506682867558	0.304709141274238	0.122399020807834	0.232288037166086	0	0.113507377979569	0.193673337637185	0.35498757543486	0.638297872340426	0.200803212851406	0.756620428751576	0.4739336492891	0.693481276005548	0.243506493506494	0.536193029490617	0	1.28939828080229	0.398406374501992	0.513874614594039	0.299529311082585	0.194678780012979	0.14367816091954	0.159616919393456	0.363558597091531	0.53475935828877	0.418060200668896	1.03626943005181	0.435116457640133	0.458715596330275	0.781928757602085	0.514579759862779	1.1986301369863	0.592812152649129	0.221589110477999	1.1887072808321	0	3.30578512396694
"and the"	0	0	0.970873786407767	0	1.61290322580645	0	0.244259892525647	0	1.1605415860735	0.153374233128834	0.37593984962406	0	0.24174053182917	0	0.619195046439629	0.684931506849315	1.33333333333333	0	0.395569620253165	0.146929180135175	0.596282006313574	1.26582278481013	0.558659217877095	0	0.504413619167718	0	0.413223140495868	0.148367952522255	0	0.719424460431655	0.298507462686567	0.537371763556424	0.408719346049046	0.413009808982963	0.591715976331361	0.726392251815981	1.42348754448399	0	0.488599348534202	0.187265917602996	0.360144057623049	0.400600901352028	0.425985090521832	0.0747384155455904	0.386847195357834	0.25062656641604	0.584795321637427	0.440528634361233	0.329380764163373	0.337552742616034	0.29585798816568	0	0.155763239875389	0.255918106206014	0.606673407482305	1.12359550561798	0.748362956033676	0.169204737732657	0.42674253200569	0.656455142231947	1.1070110701107	0.386740331491713	0.213523131672598	0	1.4344262295082	0.269242952169781	0.43859649122807	0.132978723404255	0.125786163522013	0.106269925611052	0.208333333333333	0.471698113207547	0.54525627044711	0	0.206185567010309	0.379506641366224	0.373909430826755	0.342465753424658	0.19077349982657	0.379426644182125	0.247116968698517	0.121605188488042	0	0.47808764940239	0.225479143179256	0.336053768602976	0.218818380743982	0.185442744552619	0.672013873834815	0.0296296296296296	0.164744645799012	0.412087912087912	0.327868852459016	0.241157556270096	0.464252553389044	0.857142857142857	0.14985014985015	0.355871886120996	0	0.391877449234058	0.113927655938479	0.628140703517588	0	0.498063087991146	0.142755174875089	0.777047220561865	0.13986013986014	0.164203612479475	0.15552099533437	0.308166409861325	0.470957613814757	0.195058517555267	0.447093889716841	0.520833333333333	0.140646976090014	0.493421052631579	0.36231884057971	0.819672131147541	0.478468899521531	0.445930880713489	0.0887311446317657	0.337837837837838	0.449943757030371	0.114198705748002	0.117970900511207	0.3690036900369	0	1.1214953271028	0.550206327372765	0	0	0.275862068965517	0.118694362017804	0.303766707168894	0.332409972299169	0.244798041615667	0.348432055749129	0.374531835205993	0.340522133938706	1.3557133634603	0.35498757543486	0.531914893617021	0.200803212851406	0.315258511979823	0.23696682464455	0.554785020804438	0.405844155844156	1.34048257372654	0	1.14613180515759	0.199203187250996	0.308324768756423	0.299529311082585	0.324464633354964	0.431034482758621	0.478850758180367	0.320786997433704	0.213903743315508	0.167224080267559	0.518134715025907	0.307141028922447	0	0.52128583840139	0.385934819897084	0.513698630136986	0.111152278621712	0.379867046533713	0.445765230312036	1.3986013986014	0
"on the"	0.383141762452107	1.08695652173913	0	0	0	0	0.341963849535906	0	1.45067698259188	0.153374233128834	0.093984962406015	0.396301188903567	0.201450443190975	0	0	0	0	0	0.395569620253165	0.264472524243315	0.210452472816556	0.723327305605787	0.446927374301676	0.178571428571429	0	0.153846153846154	0	0.29673590504451	0	0.287769784172662	0	0.635075720566683	0	0.258131130614352	0	0.484261501210654	0	0	0.325732899022801	0.187265917602996	1.20048019207683	0.500751126690035	1.17145899893504	0.224215246636771	0.483558994197292	0.25062656641604	0.116959064327485	0.110132158590308	0.329380764163373	0.168776371308017	0	0.396825396825397	0.155763239875389	0.447856685860525	0.404448938321537	0	0	0.338409475465313	0	0.437636761487965	0	0.165745856353591	0.142348754448399	0	0.204918032786885	0.332594235033259	0.263157894736842	0.265957446808511	0.125786163522013	0	0.208333333333333	0.471698113207547	0.327153762268266	0	0.824742268041237	0.094876660341556	0.290818446198587	0.684931506849315	0.260145681581686	0.400505902192243	0.0823723228995058	0.526955816781516	0.32232070910556	0.557768924302789	0.112739571589628	0.0960153624579933	0.218818380743982	0.324524802967084	0.368523737264253	0.237037037037037	0.329489291598023	1.03021978021978	0.655737704918033	0.160771704180064	0.371402042711235	0.142857142857143	0.44955044955045	0.118623962040332	0.347624565469293	0.320627003918774	0.256337225861578	0.251256281407035	0	0.166021029330382	0.356887937187723	0.298864315600717	0	0	0.15552099533437	0	0	0.130039011703511	0	0.260416666666667	0.140646976090014	0.328947368421053	0	0.409836065573771	0.717703349282297	0.334448160535117	0	0	0.168728908886389	0.380662352493338	0.0786472670074715	0	0.618556701030928	0.280373831775701	0	0	0	0.275862068965517	0.118694362017804	0.364520048602673	0.664819944598338	0.244798041615667	0.232288037166086	0.374531835205993	0.340522133938706	0.0645577792123951	0.283990060347888	1.27659574468085	0.200803212851406	0.189155107187894	0	0.416088765603329	0.324675324675325	0.536193029490617	0	0.859598853868195	0.99601593625498	0.102774922918808	0.320924261874198	0.648929266709929	0.431034482758621	0.319233838786911	0.29940119760479	0.106951871657754	0.167224080267559	0	0.204760685948298	0.275229357798165	0.260642919200695	0.343053173241852	0.256849315068493	0.0741015190811412	0.253244697689142	0	0	0
"the king"	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06812652068127	0	0	0	0	0.0791139240506329	0	0.596282006313574	0	0	0	0	0	0	0	0	0	0.696517412935323	0	0	0.671140939597315	0	0.484261501210654	0	0	0	0	0	0.0500751126690035	0.958466453674121	0.249128051818635	1.1605415860735	0	0	0	1.58102766798419	0.337552742616034	0	0	0	0	0	0	0	0	0	0	0	0.607734806629834	0.640569395017794	0	0	0.63351282863478	0.416666666666667	0.265957446808511	0	0.425079702444208	0	0	0.872410032715376	0	0	0	0.415454923140839	0	0.416233090530697	0.0421585160202361	0	0.972841507904337	1.36986301369863	0	0	0	2.62582056892779	0	0.0433557337957945	0.0592592592592593	0	0	0	0.0803858520900322	0	0	0	0	0	0.106875667972925	0	0	0	1.8262313226342	1.14204139900071	0.119545726240287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0380662352493338	0.825796303578451	0	0	0	0	0	0	0.32183908045977	0	0.668286755771567	0.997229916897507	0.856793145654835	0.696864111498258	0	0	1.67850225952227	0.887468938587149	0	0	1.51324085750315	0	0.832177531206657	0.811688311688312	0	0	0	0	0	0.192554557124519	0	0.862068965517241	0	0.256629597946963	0	0	0	0	1.19266055045872	0	0.171526586620926	0.0856164383561644	0	0.728078505856284	0	0	0
"began to"	0.229885057471264	0	0.970873786407767	0	1.61290322580645	0	0.341963849535906	0.175131348511384	0.483558994197292	0.306748466257669	0.281954887218045	0.132100396301189	0.08058017727639	0.24330900243309	0.309597523219814	0.880626223091976	0.266666666666667	1.25	0.395569620253165	0.264472524243315	0.210452472816556	0.904159132007233	0.111731843575419	0.267857142857143	0.252206809583859	0.153846153846154	0.413223140495868	0.741839762611276	0	0.143884892086331	0.0995024875621891	0.293111871030777	0.408719346049046	0.309757356737222	0	0.726392251815981	0.118623962040332	0	0.488599348534202	0.187265917602996	0.600240096038415	0.350525788683025	0.319488817891374	0.149476831091181	0.193423597678917	0.25062656641604	0.194931773879142	0.440528634361233	0.197628458498024	0.337552742616034	0	0.396825396825397	0.467289719626168	0.511836212412028	0.606673407482305	1.12359550561798	0.0935453695042095	0.169204737732657	0.42674253200569	0.218818380743982	0	0.276243093922652	0.498220640569395	0	0.409836065573771	0.110864745011086	0.153508771929825	0.132978723404255	0.377358490566038	0.318809776833156	0	0	0.54525627044711	0.574712643678161	0.412371134020619	0.569259962049336	0.0830909846281678	0.171232876712329	0.260145681581686	0.295109612141653	0.411861614497529	0.202675314146737	0.24174053182917	0.398406374501992	0.225479143179256	0.480076812289966	0.218818380743982	0.0927213722763097	0.303490136570561	0.118518518518519	0.494233937397035	0.412087912087912	0.327868852459016	0.160771704180064	0.371402042711235	0.142857142857143	0.24975024975025	0.355871886120996	0.347624565469293	0.142500890630566	0.0569638279692395	0.125628140703518	0.766283524904215	0.553403431101273	0.214132762312634	0.717274357441721	0.27972027972028	0.328407224958949	0.207361327112494	0.924499229583975	0.627943485086342	0.390117035110533	0.596125186289121	0.260416666666667	0.281293952180028	0.328947368421053	0.543478260869565	0.409836065573771	0.358851674641148	0.222965440356745	0.354924578527063	0.675675675675676	0.281214848143982	0.0761324704986677	0.629178136059772	0	0.206185567010309	0.373831775700935	0.550206327372765	0	0	0.229885057471264	0.178041543026706	0.182260024301337	0.166204986149584	0.611995104039168	0.813008130081301	0	0	0.451904454486766	0.283990060347888	0.531914893617021	0.803212851405622	0.441361916771753	0	0.416088765603329	0.0811688311688312	0.804289544235925	0	0.143266475644699	0.199203187250996	0.308324768756423	0.171159606332905	0.259571706683971	0.14367816091954	0.638467677573823	0.406330196749358	0.320855614973262	0.334448160535117	0	0.204760685948298	0.55045871559633	0.260642919200695	0.471698113207547	0	0.333456835865135	0.189933523266857	0.297176820208024	1.3986013986014	0
"of the"	0.459770114942529	0	0.970873786407767	0	0	0	0.146555935515388	0.350262697022767	0.0967117988394584	0	0.093984962406015	0.264200792602378	0.282030620467365	0	0	0.0978473581213307	0	0	0.395569620253165	0.323244196297385	0.385829533497019	0.361663652802893	1.00558659217877	0.0892857142857143	0.630517023959647	0	0.206611570247934	0	0	0.575539568345324	0.199004975124378	0.146555935515388	0	0.309757356737222	0	0.484261501210654	0.237247924080664	0	0.325732899022801	0.374531835205993	0.240096038415366	0.400600901352028	0.319488817891374	0.199302441454908	0.145067698259188	0.50125313283208	0.0779727095516569	0	0.922266139657444	0	0	0.396825396825397	0.233644859813084	0.255918106206014	0.303336703741153	0	0.0935453695042095	0	0.284495021337127	0	0	0.276243093922652	0.427046263345196	0	0.614754098360656	0.332594235033259	0.109649122807018	0.265957446808511	0.251572327044025	0.106269925611052	0.416666666666667	0	0.327153762268266	0	0	0.284629981024668	0.0415454923140839	0	0.36420395421436	0.147554806070826	0.164744645799012	0.324280502634779	0.16116035455278	0.0796812749003984	0.56369785794814	0.240038406144983	0.218818380743982	0.0927213722763097	0.173422935183178	0.177777777777778	0.164744645799012	0.137362637362637	0	0.0803858520900322	0.278551532033426	0	0.04995004995005	0.177935943060498	0	0.21375133594585	0.113927655938479	0.251256281407035	0	0.110680686220255	0.285510349750178	0.119545726240287	0.13986013986014	0	0.207361327112494	0.308166409861325	0	0.260078023407022	0	0.260416666666667	0	0.657894736842105	0.543478260869565	0.614754098360656	0.239234449760766	0	0.0887311446317657	0	0.281214848143982	0.266463646745337	0.353912701533622	0.2460024600246	0.206185567010309	0.186915887850467	0.137551581843191	0	0.835073068893528	0.367816091954023	0.237388724035608	0.425273390036452	0.221606648199446	0.367197062423501	0.348432055749129	0.374531835205993	0	0.193673337637185	0.390486332978346	1.06382978723404	0	0.252206809583859	0.23696682464455	0.277392510402219	0.487012987012987	0.536193029490617	0	0.286532951289398	0	0.205549845837616	0.492083868207103	0.129785853341986	0.14367816091954	0.239425379090184	0.320786997433704	0.106951871657754	1.67224080267559	1.55440414507772	0.486306629127208	0.55045871559633	0.0868809730668983	0.214408233276158	0	0.333456835865135	0.284900284900285	0.148588410104012	0	0.826446280991736
"and said"	0	0	0	0	0	0	0.488519785051295	0	0.386847195357834	0.306748466257669	0.093984962406015	0.396301188903567	0.24174053182917	0.121654501216545	0	0.195694716242661	0	0	0.316455696202532	0.146929180135175	0.175377060680463	0	0.446927374301676	0.178571428571429	0.252206809583859	0.307692307692308	0	0.29673590504451	0.581395348837209	0	0.497512437810945	0.341963849535906	0.681198910081744	0.103252452245741	0	0.726392251815981	0	0.869565217391304	0.162866449511401	0.374531835205993	0.120048019207683	0.150225338007011	0.106496272630458	0.0996512207274539	0.290135396518375	0	0.272904483430799	0.220264317180617	0.131752305665349	0.337552742616034	0	0.396825396825397	0.311526479750779	0.0639795265515035	0.101112234580384	1.12359550561798	0.0935453695042095	0.338409475465313	0.142247510668563	0.437636761487965	1.1070110701107	0.165745856353591	0.355871886120996	0	0.409836065573771	0.285080772885651	0.175438596491228	0.398936170212766	0.251572327044025	0.106269925611052	0.208333333333333	0	0.436205016357688	0.28735632183908	0	0.284629981024668	0.20772746157042	1.02739726027397	0.398890045091918	0.252951096121417	0.247116968698517	0.364815565464126	0.24174053182917	0.239043824701195	0.112739571589628	0.192030724915987	0.218818380743982	0.231803430690774	0.130067201387383	0.148148148148148	0.329489291598023	0.274725274725275	0.163934426229508	0.241157556270096	0.185701021355617	0	0.1998001998002	0.0593119810201661	0.115874855156431	0.320627003918774	0.199373397892338	0.376884422110553	0	0.498063087991146	0.428265524625268	0.119545726240287	0.13986013986014	0.328407224958949	0.259201658890617	0	0.313971742543171	0.455136540962289	0.596125186289121	0.78125	0.281293952180028	0.493421052631579	0.181159420289855	0	0.358851674641148	0.111482720178372	0.266193433895297	0.675675675675676	0.168728908886389	0.190331176246669	0.0786472670074715	0.1230012300123	1.23711340206186	0.373831775700935	0.412654745529574	0.819672131147541	0.208768267223382	0.183908045977011	0.29673590504451	0.243013365735115	0.221606648199446	0.244798041615667	0.348432055749129	0.749063670411985	0.454029511918275	0.322788896061975	0.035498757543486	0.106382978723404	0	0.189155107187894	0.4739336492891	0.13869625520111	0.568181818181818	0.268096514745308	0.775193798449612	0.286532951289398	0	0.411099691675231	0.149764655541292	0.0648929266709929	0	0.0798084596967279	0.278015397775877	0.213903743315508	0.668896321070234	0	0.230355771691835	0	0.173761946133797	0.214408233276158	0.256849315068493	0.407558354946276	0.221589110477999	0.148588410104012	0	0
"the old"	0.306513409961686	0	0	0	0	0	0.244259892525647	0	0	0	0.281954887218045	0	0	0	0	0.0978473581213307	0	1.25	0.632911392405063	0.11754334410814	0	0.180831826401447	0	0	0.630517023959647	0	0	2.07715133531157	0	0	0	0.146555935515388	0.953678474114441	0.309757356737222	0	0.968523002421308	0	0.869565217391304	0	0	0.360144057623049	0.0500751126690035	0	0	0.145067698259188	1.00250626566416	0.194931773879142	0	0	0	0	0	0.0778816199376947	0	0.606673407482305	0	0	1.52284263959391	3.41394025604552	0	0	0.331491712707182	0.284697508896797	0	0	0.221729490022173	0.0657894736842105	0.664893617021277	2.26415094339623	0.53134962805526	0.416666666666667	0	0	1.14942528735632	0	1.13851992409867	0.290818446198587	2.22602739726027	0	0	0	0.364815565464126	0.08058017727639	0.159362549800797	2.0293122886133	0	0	0.0463606861381548	0.0216778668978972	0.0296296296296296	0	0.274725274725275	0.819672131147541	0.160771704180064	0	0	1.2987012987013	0.415183867141163	0	0.285001781261133	0	0.628140703517588	0	0.940785832872164	0.142755174875089	0	0	0	0	0	0	0	0	3.125	0	0	0	0	0	0	0	0	0.224971878515186	0.228397411496003	0.511207235548565	0	0	0.467289719626168	0	0	0	0	0	0	0.0277008310249307	0.122399020807834	0.232288037166086	0	0	0.0645577792123951	0	0	0.602409638554217	0.252206809583859	1.18483412322275	0.554785020804438	0.0405844155844156	0	0	2.86532951289398	0	0.308324768756423	0	0.129785853341986	0	1.67597765363128	0.23524379811805	0	2.17391304347826	0	0.409521371896596	0	0	0.0428816466552316	0	0	0.253244697689142	0	5.59440559440559	0
"prince ivan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712025316455696	0	0	0	0	0	0	0	0	0	0	0	1.39303482587065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49171270718232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.520291363163371	1.79173693086003	0	0	0	0	0	0	0	1.01993509503941	0	1.33333333333333	0	0	0	0.884244372990354	0	0	0	0	0	0	1.79436058103105	0	0	0	0	2.21159593544531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29425199847735	1.57294534014943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26230209670518	0	0	0	0.213857998289136	0	0	0	0	0	0	0.428816466552316	0	0	0	0	0	0
